t;P_W
0.0;2.07
0.9957779980178394;8.0
1.9915559960356788;3.35
2.987333994053518;0.0
3.9831119920713576;0.173
4.978889990089197;0.346
5.974667988107036;8.3
6.970445986124876;12.88
7.966223984142715;8.4
8.962001982160555;11.143
9.957779980178394;13.886
10.953557978196233;13.05
11.949335976214073;7.0
12.945113974231912;13.18
13.940891972249752;3.504
14.936669970267591;1.815
15.93244796828543;1.915
16.92822596630327;1.0
17.92400396432111;1.3
18.91978196233895;0.3
19.915559960356788;13.488
20.911337958374627;13.3
21.907115956392467;13.23
22.902893954410306;13.3
23.898671952428145;13.4
24.894449950445985;13.2
25.890227948463824;13.3
26.886005946481664;1.0
27.881783944499503;1.307
28.877561942517342;1.35
29.873339940535182;1.329
30.86911793855302;1.3
31.86489593657086;0.71
32.8606739345887;0.33
33.85645193260654;1.308
34.852229930624375;1.308
35.84800792864222;1.22
36.843785926660054;0.298
37.8395639246779;0.833
38.83534192269573;0.294
39.831119920713576;0.2
40.82689791873141;0.228
41.822675916749255;0.094
42.81845391476709;0.6659999999999999
43.81423191278493;1.238
44.81000991080277;1.833
45.80578790882061;2.98
46.80156590683845;1.838
47.79734390485629;3.0
48.79312190287413;4.0
49.78889990089197;3.0
50.784677898909806;2.97
51.78045589692765;2.8
52.776233894945484;2.95
53.77201189296333;2.95
54.76778989098116;2.98
55.763567888999006;2.99
56.75934588701684;1.3
57.755123885034685;0.302
58.75090188305252;1.284
59.746679881070364;3.8
60.7424578790882;13.485
61.73823587710604;6.0
62.73401387512388;1.305
63.72979187314172;3.0
64.72556987115956;1.343
65.7213478691774;1.394
66.71712586719524;1.382
67.71290386521308;1.348
68.70868186323092;1.383
69.70445986124875;1.382
70.7002378592666;1.348
71.69601585728444;13.486
72.69179385530228;13.4
73.68757185332011;13.88
74.68334985133795;13.9
75.6791278493558;3.3
76.67490584737364;1.388
77.67068384539147;3.48
78.66646184340931;1.3
79.66223984142715;1.34
80.658017839445;0.3
81.65379583746282;0.843
82.64957383548067;1.386
83.64535183349851;0.48
84.64112983151635;1.329
85.63690782953418;1.388
86.63268582755202;1.39
87.62846382556987;1.308
88.62424182358771;0.318
89.62001982160554;1.348
90.61579781962338;0.8240000000000001
91.61157581764122;0.3
92.60735381565907;1.311
93.6031318136769;1.389
94.59890981169474;1.318
95.59468780971258;1.389
96.59046580773042;1.388
97.58624380574825;0.345
98.5820218037661;0.32
99.57779980178394;1.389
100.57357779980178;0.8
101.56935579781961;1.32
102.56513379583745;0.48
103.5609117938553;0.5
104.55668979187314;0.348
105.55246778989097;1.389
106.54824578790881;1.389
107.54402378592665;1.389
108.5398017839445;1.389
109.53557978196233;13.485
110.53135777998017;10.7425
111.52713577799801;8.0
112.52291377601586;13.11
113.51869177403368;13.11
114.51446977205153;13.11
115.51024777006937;3.48
116.50602576808721;1.33
