t;P_W
0.0;0.0
0.9861707779886149;1.0
1.9723415559772297;167.5
2.9585123339658446;334.0
3.9446831119544594;334.0
4.930853889943075;30563.0
5.917024667931689;21958.5
6.903195445920304;13354.0
7.889366223908919;1340.0
8.875537001897534;1348.0
9.86170777988615;1350.0
10.847878557874765;1359.0
11.834049335863378;1386.0
12.820220113851994;1352.0
13.806390891840609;1352.0
14.792561669829224;1362.0
15.778732447817838;1347.0
16.764903225806453;1347.5
17.75107400379507;1348.0
18.737244781783684;1353.0
19.7234155597723;134.0
20.709586337760914;1342.0
21.69575711574953;1361.0
22.68192789373814;1362.0
23.668098671726757;360.0
24.654269449715372;370.0
25.640440227703987;380.0
26.626611005692602;881.0
27.612781783681218;1382.0
28.598952561669833;1385.0
29.58512333965845;1333.0
30.571294117647064;763.0
31.557464895635675;193.0
32.543635673624294;1335.0
33.529806451612906;5.0
34.515977229601525;435.0
35.50214800759014;220.5
36.48831878557875;6.0
37.47448956356737;48.5
38.46066034155598;91.0
39.4468311195446;1.3
40.43300189753321;5.3
41.41917267552183;30.0
42.40534345351044;8.0
43.39151423149906;3.0
44.37768500948767;4151.0
45.36385578747628;3894.125
46.3500265654649;3637.25
47.33619734345351;3380.375
48.32236812144213;3123.5
49.308538899430744;2866.625
50.29470967741936;2609.75
51.280880455407974;2352.875
52.26705123339659;2096.0
53.253222011385205;1839.125
54.23939278937382;1582.25
55.225563567362435;1325.375
56.21173434535105;1068.5
57.197905123339666;811.625
58.18407590132828;554.75
59.1702466793169;297.875
60.15641745730551;41.0
61.14258823529413;51.0
62.12875901328274;61.0
63.11492979127135;71.0
64.10110056925997;81.0
65.08727134724859;91.0
66.0734421252372;101.0
67.05961290322581;111.0
68.04578368121443;121.0
69.03195445920305;131.0
70.01812523719165;141.0
71.00429601518027;151.0
71.99046679316889;113.5
72.9766375711575;76.0
73.96280834914612;38.5
74.94897912713473;1.0
75.93514990512335;21.0
76.92132068311196;11.0
77.90749146110058;1.0
78.8936622390892;0.93551
79.8798330170778;0.87102
80.86600379506642;0.80653
81.85217457305504;0.74204
82.83834535104366;0.67755
83.82451612903226;0.6130599999999999
84.81068690702088;0.54857
85.7968576850095;0.48407999999999995
86.78302846299812;0.4195899999999999
87.76919924098672;0.3551
88.75537001897534;1.17755
89.74154079696396;2.0
90.72771157495256;55.0
91.71388235294118;45.875
92.7000531309298;36.75
93.68622390891842;27.625
94.67239468690703;18.5
95.65856546489564;9.375
96.64473624288426;0.25
97.63090702087287;7.166666666666667
98.61707779886149;14.083333333333334
99.6032485768501;21.0
100.58941935483872;23.0
101.57559013282733;25.0
102.56176091081595;27.0
103.54793168880457;29.0
104.53410246679319;31.0
105.52027324478179;33.0
106.50644402277041;25.0
107.49261480075903;17.0
108.47878557874763;11.566666666666666
109.46495635673625;6.133333333333333
110.45112713472487;0.7
111.43729791271349;1273.8500000000001
112.4234686907021;2547.0
113.40963946869071;2184.1428571428573
114.39581024667933;1821.2857142857142
115.38198102466794;1458.4285714285716
116.36815180265656;1095.5714285714287
117.35432258064517;732.7142857142858
118.3404933586338;369.8571428571431
119.3266641366224;7.0
120.31283491461102;6.2
121.29900569259964;5.4
122.28517647058825;4.6
123.27134724857686;3.8
124.25751802656548;3.0
125.2436888045541;37.8
126.2298595825427;72.6
127.21603036053132;107.39999999999999
128.20220113851994;142.2
129.18837191650854;177.0
