"Time (s) Run #1";"Temperature 1, Ch 2 (°C) Run #1";"Temperature 2, Ch 2 (°C) Run #1";"Temperature 3, Ch 2 (°C) Run #1";"Temperature 1, Ch 1 (°C) Run #1";"Temperature 2, Ch 1 (°C) Run #1";"Temperature 3, Ch 1 (°C) Run #1";"Time (s) Run #2";"Temperature 1, Ch 1 (°C) Run #2";"Temperature 2, Ch 1 (°C) Run #2";"Temperature 3, Ch 1 (°C) Run #2";"Force Beam 1 (N) Run #2";"Force Beam 2 (N) Run #2";"Force Beam 3 (N) Run #2";"Force Beam 4 (N) Run #2";"Normal Force (N) Run #2";"Parallel Force (N) Run #2";"Time (s) Run #3";"Temperature 1, Ch 1 (°C) Run #3";"Temperature 2, Ch 1 (°C) Run #3";"Temperature 3, Ch 1 (°C) Run #3";"Force Beam 1 (N) Run #3";"Force Beam 2 (N) Run #3";"Force Beam 3 (N) Run #3";"Force Beam 4 (N) Run #3";"Normal Force (N) Run #3";"Parallel Force (N) Run #3";"Time (s) Run #4";"Temperature 1, Ch 1 (°C) Run #4";"Temperature 2, Ch 1 (°C) Run #4";"Temperature 3, Ch 1 (°C) Run #4";"Force Beam 1 (N) Run #4";"Force Beam 2 (N) Run #4";"Force Beam 3 (N) Run #4";"Force Beam 4 (N) Run #4";"Normal Force (N) Run #4";"Parallel Force (N) Run #4";"Time (s) Run #5";"Temperature 1, Ch 2 (°C) Run #5";"Temperature 2, Ch 2 (°C) Run #5";"Temperature 3, Ch 2 (°C) Run #5";"Temperature 1, Ch 1 (°C) Run #5";"Temperature 2, Ch 1 (°C) Run #5";"Temperature 3, Ch 1 (°C) Run #5";"Time (s) Run #6";"Temperature 1, Ch 2 (°C) Run #6";"Temperature 2, Ch 2 (°C) Run #6";"Temperature 3, Ch 2 (°C) Run #6";"Temperature 1, Ch 1 (°C) Run #6";"Temperature 2, Ch 1 (°C) Run #6";"Temperature 3, Ch 1 (°C) Run #6"
86,500;20,29;31,67;28,60;18,07;12,45;16,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,500;12,43;27,44;24,41;13,11;10,60;8,86
86,550;20,29;31,67;28,60;18,07;12,45;16,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,550;12,43;27,44;24,41;13,11;10,60;8,86
86,600;20,29;31,67;28,60;18,07;12,45;16,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,600;12,43;27,44;24,40;13,11;10,60;8,86
86,650;20,29;31,67;28,60;18,07;12,45;16,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,650;12,43;27,44;24,40;13,11;10,59;8,85
86,700;20,29;31,67;28,60;18,07;12,45;16,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,700;12,44;27,45;24,40;13,11;10,60;8,86
86,750;20,29;31,67;28,61;18,07;12,45;16,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,750;12,44;27,45;24,40;13,11;10,59;8,86
86,800;20,29;31,67;28,61;18,07;12,45;16,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,800;12,44;27,45;24,40;13,11;10,59;8,86
86,850;20,29;31,68;28,61;18,07;12,44;16,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,850;12,44;27,46;24,40;13,11;10,58;8,85
86,900;20,29;31,68;28,61;18,07;12,44;16,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,900;12,44;27,46;24,40;13,11;10,59;8,86
86,950;20,30;31,68;28,62;18,07;12,44;16,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86,950;12,44;27,46;24,40;13,11;10,58;8,85
87,000;20,30;31,68;28,62;18,06;12,44;16,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,000;12,45;27,46;24,39;13,11;10,58;8,85
87,050;20,30;31,69;28,63;18,06;12,44;16,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,050;12,45;27,47;24,39;13,11;10,57;8,85
87,100;20,30;31,69;28,63;18,06;12,44;16,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,100;12,45;27,47;24,39;13,11;10,57;8,85
87,150;20,30;31,69;28,63;18,06;12,44;16,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,150;12,45;27,47;24,39;13,11;10,57;8,85
87,200;20,30;31,69;28,64;18,06;12,43;16,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,200;12,45;27,47;24,39;13,10;10,57;8,85
87,250;20,30;31,69;28,64;18,06;12,43;16,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,250;12,45;27,48;24,39;13,11;10,57;8,85
87,300;20,30;31,70;28,65;18,06;12,43;16,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,300;12,45;27,48;24,39;13,11;10,56;8,85
87,350;20,30;31,70;28,65;18,06;12,43;16,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,350;12,46;27,48;24,38;13,11;10,56;8,84
87,400;20,30;31,70;28,65;18,05;12,43;16,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,400;12,46;27,48;24,39;13,11;10,56;8,84
87,450;20,30;31,70;28,66;18,06;12,43;16,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,450;12,46;27,49;24,38;13,11;10,55;8,84
87,500;20,31;31,70;28,66;18,06;12,42;16,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,500;12,46;27,49;24,38;13,11;10,55;8,84
87,550;20,31;31,71;28,67;18,05;12,42;16,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,550;12,46;27,49;24,38;13,11;10,55;8,84
87,600;20,31;31,70;28,68;18,05;12,42;16,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,600;12,46;27,49;24,38;13,11;10,55;8,84
87,650;20,31;31,71;28,68;18,05;12,42;16,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,650;12,46;27,50;24,38;13,11;10,54;8,84
87,700;20,31;31,71;28,68;18,05;12,42;16,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,700;12,46;27,50;24,38;13,10;10,54;8,84
87,750;20,31;31,70;28,69;18,05;12,42;16,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,750;12,46;27,50;24,38;13,11;10,54;8,84
87,800;20,31;31,71;28,69;18,05;12,42;16,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,800;12,47;27,50;24,37;13,11;10,54;8,83
87,850;20,31;31,70;28,70;18,05;12,42;16,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,850;12,47;27,51;24,37;13,11;10,53;8,84
87,900;20,32;31,70;28,71;18,05;12,41;16,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,900;12,47;27,51;24,37;13,10;10,53;8,83
87,950;20,32;31,70;28,71;18,05;12,42;16,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,950;12,47;27,51;24,37;13,10;10,52;8,83
88,000;20,31;31,70;28,72;18,05;12,42;16,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,000;12,47;27,51;24,37;13,10;10,52;8,83
88,050;20,32;31,70;28,72;18,04;12,41;16,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,050;12,47;27,51;24,37;13,11;10,52;8,83
88,100;20,32;31,70;28,73;18,04;12,41;16,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,100;12,47;27,52;24,37;13,10;10,52;8,83
88,150;20,32;31,70;28,74;18,04;12,41;16,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,150;12,48;27,52;24,37;13,10;10,51;8,82
88,200;20,32;31,70;28,74;18,04;12,41;16,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,200;12,48;27,52;24,37;13,10;10,51;8,82
88,250;20,32;31,70;28,74;18,04;12,41;16,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,250;12,48;27,52;24,37;13,10;10,51;8,82
88,300;20,32;31,70;28,75;18,04;12,41;16,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,300;12,48;27,53;24,37;13,10;10,50;8,82
88,350;20,32;31,69;28,75;18,04;12,41;16,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,350;12,48;27,53;24,37;13,10;10,50;8,82
88,400;20,32;31,69;28,76;18,04;12,41;16,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,400;12,48;27,53;24,37;13,11;10,50;8,82
88,450;20,32;31,69;28,77;18,04;12,40;16,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,450;12,48;27,53;24,37;13,10;10,50;8,81
88,500;20,33;31,69;28,77;18,03;12,40;16,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,500;12,48;27,53;24,37;13,10;10,49;8,81
88,550;20,32;31,69;28,78;18,03;12,40;16,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,550;12,48;27,54;24,37;13,10;10,49;8,81
88,600;20,33;31,69;28,79;18,03;12,40;16,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,600;12,49;27,54;24,37;13,10;10,49;8,81
88,650;20,33;31,69;28,79;18,03;12,40;16,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,650;12,48;27,54;24,37;13,10;10,48;8,81
88,700;20,33;31,69;28,79;18,03;12,40;16,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,700;12,49;27,54;24,37;13,10;10,48;8,81
88,750;20,33;31,69;28,80;18,03;12,40;16,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,750;12,49;27,55;24,37;13,10;10,48;8,81
88,800;20,33;31,69;28,81;18,03;12,40;16,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,800;12,49;27,55;24,37;13,10;10,47;8,80
88,850;20,33;31,69;28,81;18,03;12,40;16,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,850;12,49;27,56;24,38;13,10;10,47;8,80
88,900;20,33;31,68;28,82;18,03;12,39;16,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,900;12,49;27,56;24,38;13,10;10,47;8,80
88,950;20,33;31,68;28,83;18,03;12,39;16,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,950;12,49;27,56;24,38;13,10;10,46;8,80
89,000;20,34;31,68;28,83;18,03;12,39;16,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,000;12,49;27,56;24,38;13,10;10,46;8,80
89,050;20,33;31,68;28,84;18,02;12,39;16,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,050;12,49;27,56;24,38;13,10;10,46;8,79
89,100;20,34;31,68;28,85;18,02;12,39;16,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,100;12,50;27,57;24,38;13,10;10,45;8,79
89,150;20,34;31,68;28,85;18,02;12,39;16,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,150;12,50;27,57;24,38;13,10;10,45;8,79
89,200;20,34;31,68;28,86;18,02;12,39;16,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,200;12,50;27,57;24,38;13,10;10,45;8,79
89,250;20,34;31,67;28,86;18,02;12,39;16,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,250;12,50;27,58;24,38;13,10;10,45;8,79
89,300;20,34;31,67;28,87;18,02;12,39;16,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,300;12,50;27,58;24,38;13,10;10,44;8,79
89,350;20,34;31,67;28,88;18,02;12,39;16,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,350;12,50;27,58;24,38;13,10;10,44;8,79
89,400;20,34;31,67;28,89;18,02;12,38;16,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,400;12,51;27,58;24,38;13,10;10,44;8,79
89,450;20,35;31,67;28,89;18,02;12,38;16,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,450;12,51;27,59;24,38;13,10;10,44;8,78
89,500;20,34;31,67;28,90;18,02;12,38;16,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,500;12,50;27,59;24,38;13,10;10,43;8,78
89,550;20,34;31,67;28,90;18,01;12,38;16,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,550;12,51;27,59;24,39;13,10;10,43;8,78
89,600;20,35;31,66;28,91;18,01;12,38;16,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,600;12,51;27,59;24,38;13,10;10,43;8,77
89,650;20,35;31,66;28,92;18,01;12,38;16,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,650;12,51;27,60;24,39;13,10;10,43;8,78
89,700;20,35;31,66;28,93;18,01;12,38;16,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,700;12,51;27,60;24,39;13,10;10,42;8,77
89,750;20,35;31,66;28,94;18,01;12,38;16,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,750;12,51;27,60;24,39;13,10;10,42;8,77
89,800;20,35;31,66;28,94;18,01;12,38;16,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,800;12,51;27,60;24,39;13,09;10,42;8,77
89,850;20,35;31,66;28,95;18,01;12,37;16,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,850;12,51;27,61;24,39;13,10;10,42;8,77
89,900;20,35;31,66;28,96;18,01;12,37;16,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,900;12,51;27,61;24,39;13,10;10,41;8,77
89,950;20,35;31,65;28,96;18,01;12,37;16,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,950;12,52;27,61;24,39;13,10;10,41;8,76
90,000;20,35;31,65;28,97;18,01;12,37;16,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,000;12,52;27,61;24,39;13,10;10,40;8,76
90,050;20,35;31,65;28,98;18,01;12,37;16,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,050;12,52;27,62;24,39;13,10;10,40;8,76
90,100;20,35;31,65;28,99;18,01;12,37;16,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,100;12,52;27,62;24,39;13,09;10,40;8,76
90,150;20,35;31,65;28,99;18,00;12,36;16,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,150;12,52;27,62;24,39;13,10;10,40;8,76
90,200;20,36;31,65;29,00;18,00;12,37;16,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,200;12,52;27,62;24,39;13,10;10,39;8,76
90,250;20,36;31,65;29,01;18,00;12,36;16,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,250;12,52;27,62;24,39;13,09;10,39;8,76
90,300;20,36;31,65;29,01;18,00;12,36;16,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,300;12,52;27,63;24,39;13,09;10,39;8,76
90,350;20,36;31,65;29,02;18,00;12,36;16,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,350;12,52;27,63;24,39;13,10;10,39;8,76
90,400;20,36;31,65;29,02;18,00;12,36;16,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,400;12,53;27,63;24,39;13,09;10,38;8,75
90,450;20,36;31,65;29,03;18,00;12,36;16,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,450;12,53;27,64;24,39;13,10;10,38;8,75
90,500;20,36;31,65;29,03;18,00;12,36;16,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,500;12,53;27,64;24,39;13,09;10,38;8,75
90,550;20,36;31,65;29,03;18,00;12,36;16,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,550;12,53;27,64;24,39;13,09;10,37;8,76
90,600;20,36;31,65;29,04;18,00;12,36;16,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,600;12,53;27,64;24,39;13,09;10,37;8,76
90,650;20,36;31,65;29,04;18,00;12,36;16,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,650;12,53;27,65;24,39;13,10;10,37;8,75
90,700;20,36;31,65;29,04;17,99;12,36;16,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,700;12,53;27,65;24,39;13,09;10,37;8,75
90,750;20,36;31,65;29,04;18,00;12,36;16,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,750;12,53;27,65;24,39;13,09;10,37;8,75
90,800;20,37;31,65;29,05;17,99;12,36;16,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,800;12,53;27,65;24,39;13,09;10,36;8,75
90,850;20,37;31,65;29,05;17,99;12,36;16,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,850;12,54;27,65;24,39;13,09;10,36;8,75
90,900;20,37;31,65;29,05;17,99;12,35;16,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,900;12,53;27,65;24,39;13,09;10,36;8,75
90,950;20,37;31,65;29,05;17,99;12,35;16,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,950;12,54;27,65;24,39;13,09;10,36;8,75
91,000;20,37;31,65;29,05;17,99;12,35;16,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,000;12,54;27,66;24,39;13,09;10,36;8,75
91,050;20,37;31,65;29,05;17,99;12,35;16,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,050;12,54;27,66;24,39;13,09;10,35;8,75
91,100;20,37;31,65;29,05;17,99;12,35;16,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,100;12,54;27,66;24,38;13,09;10,35;8,75
91,150;20,37;31,65;29,05;17,99;12,35;16,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,150;12,54;27,66;24,38;13,09;10,35;8,75
91,200;20,37;31,65;29,05;17,99;12,35;16,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,200;12,54;27,67;24,38;13,09;10,35;8,75
91,250;20,37;31,65;29,05;17,98;12,35;16,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,250;12,54;27,67;24,38;13,09;10,35;8,75
91,300;20,37;31,64;29,05;17,98;12,35;16,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,300;12,54;27,67;24,38;13,09;10,35;8,75
91,350;20,37;31,65;29,05;17,98;12,35;16,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,350;12,54;27,67;24,38;13,09;10,35;8,75
91,400;20,37;31,65;29,05;17,98;12,35;16,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,400;12,55;27,67;24,38;13,09;10,34;8,75
91,450;20,37;31,64;29,04;17,98;12,34;16,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,450;12,55;27,67;24,38;13,09;10,35;8,75
91,500;20,38;31,64;29,04;17,98;12,34;16,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,500;12,55;27,68;24,38;13,09;10,34;8,75
91,550;20,38;31,64;29,04;17,98;12,34;16,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,550;12,55;27,68;24,37;13,09;10,34;8,74
91,600;20,38;31,64;29,04;17,98;12,34;16,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,600;12,55;27,68;24,38;13,09;10,34;8,74
91,650;20,38;31,64;29,04;17,98;12,34;16,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,650;12,55;27,68;24,37;13,09;10,34;8,74
91,700;20,38;31,64;29,04;17,98;12,34;16,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,700;12,55;27,68;24,37;13,09;10,33;8,74
91,750;20,38;31,64;29,03;17,98;12,34;16,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,750;12,55;27,69;24,37;13,09;10,33;8,74
91,800;20,38;31,64;29,04;17,98;12,34;16,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,800;12,55;27,69;24,37;13,09;10,33;8,74
91,850;20,38;31,63;29,03;17,97;12,34;16,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,850;12,55;27,69;24,37;13,09;10,33;8,74
91,900;20,38;31,63;29,03;17,98;12,33;16,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,900;12,56;27,69;24,37;13,09;10,33;8,74
91,950;20,38;31,63;29,03;17,97;12,33;16,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,950;12,56;27,70;24,37;13,09;10,33;8,74
92,000;20,38;31,63;29,02;17,97;12,34;16,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,000;12,56;27,70;24,36;13,08;10,33;8,73
92,050;20,38;31,63;29,02;17,97;12,33;16,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,050;12,56;27,70;24,36;13,09;10,33;8,74
92,100;20,39;31,63;29,02;17,97;12,33;16,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,100;12,56;27,70;24,36;13,09;10,32;8,74
92,150;20,39;31,62;29,02;17,97;12,33;16,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,150;12,56;27,70;24,36;13,09;10,33;8,74
92,200;20,39;31,62;29,02;17,97;12,33;16,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,200;12,56;27,70;24,36;13,08;10,33;8,74
92,250;20,39;31,62;29,02;17,97;12,33;16,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,250;12,56;27,70;24,36;13,08;10,33;8,74
92,300;20,39;31,61;29,02;17,97;12,33;16,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,300;12,56;27,71;24,36;13,08;10,32;8,74
92,350;20,39;31,61;29,01;17,97;12,32;16,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,350;12,56;27,71;24,36;13,08;10,32;8,74
92,400;20,39;31,61;29,01;17,97;12,32;16,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,400;12,57;27,71;24,35;13,08;10,32;8,74
92,450;20,39;31,61;29,01;17,97;12,32;16,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,450;12,57;27,71;24,35;13,08;10,32;8,74
92,500;20,39;31,60;29,01;17,97;12,32;16,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,500;12,57;27,71;24,35;13,08;10,32;8,74
92,550;20,39;31,60;29,01;17,96;12,32;16,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,550;12,57;27,71;24,35;13,08;10,32;8,74
92,600;20,39;31,60;29,01;17,96;12,32;16,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,600;12,57;27,71;24,35;13,08;10,31;8,74
92,650;20,40;31,60;29,01;17,96;12,32;16,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,650;12,57;27,72;24,35;13,08;10,31;8,74
92,700;20,39;31,60;29,01;17,96;12,32;16,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,700;12,57;27,72;24,35;13,08;10,31;8,75
92,750;20,39;31,59;29,01;17,96;12,32;16,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,750;12,57;27,72;24,35;13,08;10,31;8,75
92,800;20,40;31,59;29,01;17,96;12,32;16,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,800;12,57;27,72;24,35;13,08;10,31;8,74
92,850;20,40;31,59;29,01;17,96;12,32;16,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,850;12,57;27,72;24,35;13,08;10,31;8,75
92,900;20,40;31,59;29,01;17,96;12,32;16,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,900;12,57;27,72;24,35;13,08;10,31;8,75
92,950;20,40;31,59;29,01;17,96;12,31;16,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,950;12,57;27,72;24,34;13,08;10,31;8,75
93,000;20,40;31,59;29,01;17,96;12,32;16,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,000;12,58;27,72;24,34;13,08;10,31;8,75
93,050;20,40;31,58;29,01;17,96;12,31;16,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,050;12,58;27,72;24,35;13,08;10,31;8,75
93,100;20,40;31,58;29,01;17,96;12,31;16,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,100;12,57;27,72;24,34;13,08;10,31;8,75
93,150;20,40;31,58;29,01;17,95;12,31;16,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,150;12,58;27,73;24,34;13,08;10,31;8,75
93,200;20,40;31,58;29,01;17,96;12,31;16,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,200;12,58;27,73;24,34;13,08;10,31;8,75
93,250;20,40;31,58;29,01;17,95;12,31;16,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,250;12,58;27,73;24,34;13,08;10,31;8,76
93,300;20,40;31,57;29,01;17,95;12,31;16,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,300;12,58;27,73;24,34;13,08;10,31;8,75
93,350;20,40;31,57;29,01;17,95;12,31;16,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,350;12,58;27,73;24,34;13,07;10,31;8,76
93,400;20,41;31,57;29,01;17,95;12,31;16,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,400;12,59;27,73;24,34;13,08;10,31;8,76
93,450;20,40;31,57;29,01;17,95;12,31;16,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,450;12,59;27,73;24,34;13,08;10,30;8,76
